respondent_id,company_size,tech_company,benefits,mh_options_known,boss_mh_discuss,resources,anonymity_protected,leave_easy,bad_conseq_mh_boss,bad_conseq_ph_boss,mh_comfort_coworkers,mh_comfort_supervisor,mh_ph_boss_serious,observed_mhdcoworker_bad_conseq,prev_boss,prev_benefits,prev_mh_options_known,prev_boss_mh_discuss,prev_resources,prev_anonymity_protected,bad_conseq_mh_prev_boss,bad_conseq_ph_prev_boss,mh_comfort_prev_coworkers,mh_comfort_prev_supervisor,mh_ph_prev_boss_serious,prev_observed_bad_conseq_mh,ph_interview,mh_interview,friends_family_mhd_comfort,ever_observed_mhd_bad_response,mhdcoworker_you_not_reveal,mh_family_history,remote_work
1,26-100,1,Not eligible for coverage / N/A,Not applicable,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,0,1,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,No,Sometimes
2,6-25,1,No,Not applicable,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,0,1,"Yes, they all did",I was aware of some,None did,Some did,"Yes, always",None of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Never
3,6-25,1,No,Not applicable,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,Some of them,Yes,Yes,Somewhat open,Maybe/Not sure,Yes,No,Always
4,6-25,0,Yes,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,0,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,No,Somewhat open,"Yes, I experienced",Yes,Yes,Sometimes
5,More than 1000,1,Yes,I am not sure,No,Yes,Yes,Somewhat easy,Yes,Yes,Maybe,Yes,No,1,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,Maybe,Somewhat open,"Yes, I experienced",No,No,Sometimes
6,26-100,1,I don't know,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,0,1,Some did,I was aware of some,None did,Some did,I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,Yes,Yes,Not applicable to me (I do not have a mental illness),No,Not applicable,No,Sometimes
7,More than 1000,1,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Somewhat open,"Yes, I observed",Maybe,Yes,Always
8,26-100,0,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes,Yes,Maybe,No,0,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Maybe,Somewhat open,"Yes, I observed",No,Yes,Sometimes
9,26-100,1,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,Yes,Very open,"Yes, I observed",Maybe,I don't know,Never
10,100-500,0,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Not open at all,No,Not applicable,Yes,Sometimes
11,100-500,1,Yes,I am not sure,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,"Yes, they all did",None of them,No,No,Somewhat open,No,Not applicable,Yes,Always
12,100-500,0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,No,Not open at all,"Yes, I experienced",Maybe,No,Sometimes
13,100-500,1,Yes,Yes,No,I don't know,Yes,Very easy,No,No,Yes,Yes,No,0,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,Somewhat open,No,Not applicable,Yes,Always
14,100-500,1,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Neutral,No,Not applicable,Yes,Sometimes
15,26-100,1,Not eligible for coverage / N/A,Not applicable,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,0,1,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,No,Very open,"Yes, I experienced",Yes,Yes,Always
16,500-1000,1,No,Not applicable,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,No,0,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Somewhat open,Maybe/Not sure,Maybe,No,Never
17,100-500,0,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,Yes,0,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,Somewhat not open,No,Not applicable,Yes,Sometimes
18,6-25,1,No,Not applicable,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,0,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Maybe,No,Somewhat not open,Maybe/Not sure,Maybe,Yes,Sometimes
19,More than 1000,0,Yes,No,Yes,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,0,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Neutral,No,Not applicable,No,Never
20,26-100,1,Yes,Yes,No,No,I don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,0,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Neutral,No,Not applicable,I don't know,Sometimes
21,1-5,1,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,0,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Somewhat open,"Yes, I observed",Maybe,Yes,Sometimes
22,100-500,0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Very open,Maybe/Not sure,No,No,Never
23,26-100,0,No,Not applicable,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,0,1,"No, none did",I was aware of some,Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,Some did,None of them,No,Maybe,Somewhat open,Maybe/Not sure,Yes,I don't know,Sometimes
24,100-500,1,I don't know,No,No,No,I don't know,Somewhat difficult,No,No,No,No,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,Somewhat not open,Maybe/Not sure,No,No,Never
25,500-1000,0,I don't know,No,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,1,1,I don't know,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Maybe,No,Neutral,"Yes, I observed",Yes,Yes,Never
26,6-25,1,Not eligible for coverage / N/A,Not applicable,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Somewhat not open,"Yes, I observed",Maybe,Yes,Never
27,100-500,1,Not eligible for coverage / N/A,Not applicable,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Very open,Maybe/Not sure,No,Yes,Never
28,100-500,1,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,Some did,"Yes, I was aware of all of them",None did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",I don't know,"Yes, they all did",None of them,No,No,Very open,No,Not applicable,No,Sometimes
29,More than 1000,1,I don't know,I am not sure,No,No,I don't know,Very easy,Maybe,No,No,Maybe,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Somewhat open,No,Not applicable,I don't know,Never
30,26-100,1,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Yes,Somewhat not open,Maybe/Not sure,No,No,Sometimes
31,100-500,1,No,Not applicable,No,Yes,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,1,1,"No, none did",N/A (not currently aware),None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,Somewhat open,No,Not applicable,No,Never
32,26-100,1,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Maybe,Yes,0,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Yes,Somewhat open,"Yes, I experienced",No,Yes,Always
33,100-500,1,No,Not applicable,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,0,1,"No, none did","Yes, I was aware of all of them",None did,None did,No,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,No,Never
34,100-500,1,No,Not applicable,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Very open,No,Not applicable,Yes,Sometimes
35,More than 1000,1,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,1,1,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,Some of them,Yes,Yes,Very open,"Yes, I observed",No,I don't know,Always
36,100-500,1,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,No,0,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Always
37,More than 1000,1,Yes,I am not sure,No,No,Yes,Somewhat difficult,Yes,Maybe,Yes,Yes,No,0,1,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",None did,None of them,Maybe,No,Very open,Maybe/Not sure,No,Yes,Never
38,More than 1000,0,No,Not applicable,No,No,No,Somewhat difficult,Maybe,No,No,No,No,0,1,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,Somewhat open,No,Not applicable,No,Never
39,6-25,1,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,0,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Somewhat open,"Yes, I experienced",Yes,Yes,Sometimes
40,6-25,1,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,0,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Somewhat not open,No,Not applicable,I don't know,Sometimes
41,6-25,1,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Maybe,I don't know,0,1,Some did,"Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Somewhat open,No,Not applicable,No,Always
42,26-100,1,No,Not applicable,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,Neutral,Maybe/Not sure,No,I don't know,Never
43,6-25,1,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,I don't know,0,1,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Yes,Somewhat open,Maybe/Not sure,No,Yes,Sometimes
44,More than 1000,1,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Yes,Yes,0,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Neutral,"Yes, I experienced",Yes,Yes,Sometimes
45,500-1000,0,Yes,Yes,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,0,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Neutral,No,Not applicable,No,Always
46,26-100,1,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Somewhat open,No,Not applicable,Yes,Never
47,100-500,0,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,No,0,1,Some did,"No, I only became aware later",None did,Some did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,Somewhat not open,Maybe/Not sure,Maybe,Yes,Never
48,6-25,0,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,No,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,No,Somewhat not open,No,Not applicable,I don't know,Sometimes
49,100-500,0,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,0,1,"No, none did",I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,I don't know,None did,None of them,Yes,Maybe,Not applicable to me (I do not have a mental illness),No,Not applicable,I don't know,Sometimes
50,More than 1000,1,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,No,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,I don't know,Sometimes
51,26-100,0,Not eligible for coverage / N/A,Not applicable,No,No,I don't know,Very difficult,Yes,No,No,Maybe,No,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Yes,Maybe,Somewhat open,Maybe/Not sure,Yes,No,Never
52,26-100,1,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,0,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",None did,None of them,Maybe,Maybe,Somewhat open,"Yes, I observed",No response,No,Sometimes
53,More than 1000,1,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,0,1,"No, none did","Yes, I was aware of all of them",Some did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,No,Somewhat open,"Yes, I observed",Yes,Yes,Always
